Name,Web,Email
Aberdeen City Council,https://www.aberdeencity.gov.uk/,
Aberdeenshire Council,https://www.aberdeenshire.gov.uk/,
Angus Council,https://www.angus.gov.uk/,
Argyll and Bute Council,https://www.argyll-bute.gov.uk/home,
Clackmannanshire Council,https://www.clacks.gov.uk/,
Comhairle nan Eilean Siar (Western Isles Council),https://www.cne-siar.gov.uk/,
Dumfries and Galloway Council,https://www.dumgal.gov.uk/,
Dundee City Council,https://www.dundeecity.gov.uk/,
East Ayrshire Council,https://www.east-ayrshire.gov.uk/Home.aspx,
East Dunbartonshire Council,https://www.eastdunbarton.gov.uk/,
East Lothian Council,https://www.eastlothian.gov.uk/,
East Renfrewshire Council,https://www.eastrenfrewshire.gov.uk/,
Edinburgh Council,https://www.edinburgh.gov.uk/,
Falkirk Council,https://www.falkirk.gov.uk/,
Fife Council,https://www.fife.gov.uk/,
Glasgow City Council,https://www.glasgow.gov.uk/,
Highland Council,https://www.highland.gov.uk/,
Inverclyde Council,https://www.inverclyde.gov.uk/,
Midlothian Council,https://www.midlothian.gov.uk/,
Moray Council,http://www.moray.gov.uk/,
North Ayrshire Council,https://www.north-ayrshire.gov.uk/home.aspx,
North Lanarkshire Council,https://www.northlanarkshire.gov.uk/,
Orkney Islands Council,https://www.orkney.gov.uk/,
Perth & Kinross Council,https://www.pkc.gov.uk/,
Renfrewshire Council,https://www.renfrewshire.gov.uk/,
Scottish Borders Council,https://www.scotborders.gov.uk/,
South Ayrshire Council,https://www.south-ayrshire.gov.uk/,
South Lanarkshire Council,https://www.southlanarkshire.gov.uk/,
Shetland Council,https://www.shetland.gov.uk/,
Stirling Council,https://www.stirling.gov.uk/,
West Dunbartonshire Council,https://www.west-dunbarton.gov.uk/,
West Lothian Council,https://www.westlothian.gov.uk/,
